,date,country,confirmed
549,2020-01-24,中国,2
550,2020-01-24,中国,1
551,2020-01-24,中国,2
552,2020-01-24,中国,2
553,2020-01-24,中国,2
554,2020-01-24,中国,4
555,2020-01-24,中国,1
556,2020-01-24,中国,2
557,2020-01-24,中国,1
558,2020-01-24,中国,9
559,2020-01-24,中国,6
560,2020-01-24,中国,1
561,2020-01-24,中国,1
562,2020-01-24,中国,1
563,2020-01-24,中国,33
564,2020-01-24,中国,18
565,2020-01-24,中国,4
566,2020-01-24,中国,1
567,2020-01-24,中国,5
568,2020-01-24,中国,3
569,2020-01-24,中国,1
570,2020-01-24,中国,1
571,2020-01-24,中国,1
572,2020-01-24,中国,1
573,2020-01-24,中国,1
574,2020-01-24,中国,62
575,2020-01-24,中国,12
576,2020-01-24,中国,6
577,2020-01-24,中国,10
578,2020-01-24,中国,4
579,2020-01-24,中国,4
580,2020-01-24,中国,2
581,2020-01-24,中国,2
582,2020-01-24,中国,2
583,2020-01-24,中国,20
584,2020-01-24,中国,39
585,2020-01-24,中国,10
586,2020-01-24,中国,1
587,2020-01-24,中国,1
588,2020-01-24,中国,4
589,2020-01-24,中国,3
590,2020-01-24,中国,4
591,2020-01-24,中国,2
592,2020-01-24,中国,7
593,2020-01-24,中国,2
594,2020-01-24,中国,4
595,2020-01-24,中国,1
596,2020-01-24,中国,10
597,2020-01-24,中国,5
598,2020-01-24,中国,3
599,2020-01-24,中国,0
600,2020-01-24,中国,1
601,2020-01-24,中国,0
602,2020-01-24,中国,1
603,2020-01-24,中国,18
604,2020-01-24,中国,3
605,2020-01-24,中国,1
606,2020-01-24,中国,1
607,2020-01-24,中国,2
608,2020-01-24,中国,1
609,2020-01-24,中国,2
610,2020-01-24,中国,1
611,2020-01-24,中国,1
612,2020-01-24,中国,4
613,2020-01-24,中国,2
614,2020-01-24,中国,21
615,2020-01-24,中国,2
616,2020-01-24,中国,4
617,2020-01-24,中国,2
618,2020-01-24,中国,1
619,2020-01-24,中国,2
620,2020-01-24,中国,3
621,2020-01-24,中国,2
622,2020-01-24,中国,3
623,2020-01-24,中国,1
624,2020-01-24,中国,1
625,2020-01-24,中国,0
626,2020-01-24,中国,0
627,2020-01-24,中国,32
628,2020-01-24,中国,6
629,2020-01-24,中国,2
630,2020-01-24,中国,1
631,2020-01-24,中国,1
632,2020-01-24,中国,1
633,2020-01-24,中国,1
634,2020-01-24,中国,8
635,2020-01-24,中国,5
636,2020-01-24,中国,1
637,2020-01-24,中国,4
638,2020-01-24,中国,2
639,2020-01-24,中国,729
640,2020-01-24,中国,572
641,2020-01-24,中国,5
642,2020-01-24,中国,1
643,2020-01-24,中国,1
644,2020-01-24,中国,21
645,2020-01-24,中国,26
646,2020-01-24,中国,10
647,2020-01-24,中国,64
648,2020-01-24,中国,5
649,2020-01-24,中国,11
650,2020-01-24,中国,10
651,2020-01-24,中国,3
652,2020-01-24,中国,43
653,2020-01-24,中国,8
654,2020-01-24,中国,1
655,2020-01-24,中国,2
656,2020-01-24,中国,3
657,2020-01-24,中国,2
658,2020-01-24,中国,5
659,2020-01-24,中国,3
660,2020-01-24,中国,4
661,2020-01-24,中国,1
662,2020-01-24,中国,4
663,2020-01-24,中国,5
664,2020-01-24,中国,5
665,2020-01-24,中国,78
666,2020-01-24,中国,14
667,2020-01-24,中国,3
668,2020-01-24,中国,20
669,2020-01-24,中国,10
670,2020-01-24,中国,1
671,2020-01-24,中国,9
672,2020-01-24,中国,2
673,2020-01-24,中国,2
674,2020-01-24,中国,7
675,2020-01-24,中国,5
676,2020-01-24,中国,2
677,2020-01-24,中国,1
678,2020-01-24,中国,2
679,2020-01-24,中国,23
680,2020-01-24,中国,3
681,2020-01-24,中国,6
682,2020-01-24,中国,1
683,2020-01-24,中国,6
684,2020-01-24,中国,2
685,2020-01-24,中国,1
686,2020-01-24,中国,1
687,2020-01-24,中国,3
688,2020-01-24,中国,17
689,2020-01-24,中国,3
690,2020-01-24,中国,5
691,2020-01-24,中国,3
692,2020-01-24,中国,5
693,2020-01-24,中国,1
694,2020-01-24,中国,57
695,2020-01-24,中国,3
696,2020-01-24,中国,10
697,2020-01-24,中国,1
698,2020-01-24,中国,2
699,2020-01-24,中国,3
700,2020-01-24,中国,2
701,2020-01-24,中国,5
702,2020-01-24,中国,2
703,2020-01-24,中国,3
704,2020-01-24,中国,2
705,2020-01-24,中国,4
706,2020-01-24,中国,1
707,2020-01-24,中国,1
